player_id,season,clubs,leagues,played,started,minutes,goals,yellow_cards,red_cards,votes,clean_sheets,was_goalkeeper
1K3BwMlOqN,2026,Adelaide Khukuri,Trial Matches - Reserves; Sunday Division Six; Sunday Division Two Reserves; Reserve Cup,18,13,1061,1,1,0,0,0,false
1K3BwMlOqN,Winter 2023,Adelaide Khukuri,Sunday Division 7; Sunday Division 4 Reserves; Sunday Division 4,19,16,1410,0,1,0,0,0,false
1K3BwRRj3N,2024,WT Birkalla,Reserves Trial Matches; State League 1 Reserves; Federation Cup Reserves,22,9,636,3,0,0,0,0,false
1K3BwRRj3N,2025,WT Birkalla,RAA NPL Reserves,1,0,5,0,0,0,0,0,false
1K3BwRRj3N,2026,Adelaide Cobras,HPG Homes State League 1 Reserves; Federation Cup Reserves; HPG Homes State League 1,18,17,1727,2,2,0,0,0,false
1K3BwZXqqN,2024,Modbury Jets AFC,Cichanowski Shield; Preseason Matches - Premier & Division 2; Saturday Premier A; Master Builders SA Born to Build Challenge Cup,24,22,2005,7,7,0,0,0,false
1K3BwZXqqN,2025,Modbury Jets AFC,Sportal Saturday Premier A; Master Builders Born 2 Build Challenge Cup,20,20,1752,7,4,0,0,0,false
1K3BwZXqqN,2026,Modbury Jets AFC,Trial Matches - Premier A & Division 2A; Sportal Saturday Premier A; Master Builders Born to Build Challenge Cup,22,19,1685,6,3,0,0,0,false
1K3BwZXqqN,Winter 2023,Modbury Jets AFC,Saturday Premier A; Challenge Cup,22,22,1935,4,3,0,0,0,false
1K3BwZjLqN,2024,FK Beograd,Sunday Division 2 B; Sunday Division 2 A; Reserve Cup; Master Builders SA Born to Build Challenge Cup,29,25,2086,0,6,0,0,0,true
1K3BwZjLqN,2025,FK Beograd,Sunday Division Eight,8,7,560,4,1,0,0,0,false
1K3BwZjLqN,2026,FK Beograd,Sunday Division Seven,14,13,1040,1,0,0,0,0,false
1K3BwZjLqN,Winter 2023,FK Beograd,Sunday Division 2; Challenge Cup,18,18,1607,1,7,0,0,0,false
